titre_lieu,url_fiche,description,date_cree,date_revision,arrondissements,types,installations,activites,commodites,accessibilite,categories,statut_ouverture,horaire_par_jour,commentaires_horaire,reglementation,paiement,telephone,courriel,titre_lieu_adresse_postale,adresse_principale,adresse_secondaire,code_postal,ville,lat,long,X,Y
"Jardin communautaire Saint-Sulpice","https://montreal.ca/lieux/jardin-communautaire-saint-sulpice","Pour en savoir plus sur les jardins communautaires à Ahuntsic-Cartierville, cliquez ici.Pour consulter le plan détaillé du jardin communautaire Saint-Sulpice, consultez le site web de Ville en vert.","2021-02-03","2023-03-03","Ahuntsic-Cartierville","Parc et jardins","Jardin communautaire","","","","Environnement","Ouvert"," Horaire [Lundi, ouverture:08:00, fermeture:20:30,Mardi, ouverture:08:00, fermeture:20:30,Mercredi, ouverture:08:00, fermeture:20:30,Jeudi, ouverture:08:00, fermeture:20:30,Vendredi, ouverture:08:00, fermeture:20:30,Samedi, ouverture:08:00, fermeture:20:30,Dimanche, ouverture:08:00, fermeture:20:30]","Ouvert du lever au coucher du soleil.","","","","","Jardin communautaire Saint-Sulpice","avenues Émile-Journault et André-Grasset",,"","Montréal",-73.635389249764,45.557259135922,294230,5046380.8
"Jardin communautaire Sault-au-Récollet","https://montreal.ca/lieux/jardin-communautaire-sault-au-recollet","Pour en savoir plus sur les jardins communautaires à Ahuntsic-Cartierville, cliquez ici.Pour consulter le plan détaillé du jardin communautaire Sault-au-Récollet, consultez le site web de Ville en vert.","2021-02-03","2023-03-03","Ahuntsic-Cartierville","Parc et jardins","Jardin communautaire","","","","Environnement","Ouvert"," Horaire [Lundi, ouverture:08:00, fermeture:20:30,Mardi, ouverture:08:00, fermeture:20:30,Mercredi, ouverture:08:00, fermeture:20:30,Jeudi, ouverture:08:00, fermeture:20:30,Vendredi, ouverture:08:00, fermeture:20:30,Samedi, ouverture:08:00, fermeture:20:30,Dimanche, ouverture:08:00, fermeture:20:30]","Ouvert du lever au coucher du soleil.","","","","","Jardin communautaire Sault-au-Récollet","2425, boulevard Gouin Est, près de la rue du Pressoir",,"H2B1X7","Montréal",-73.659754436455,45.576089289329,292332,5048477
"Évaluation foncière - Point de service principal","https://montreal.ca/lieux/evaluation-fonciere-point-de-service-principal","Le Service de l’évaluation foncière traite les rôles d’évaluation des 16 municipalités de l’agglomération de Montréal. Vous pouvez vous y rendre pour poser des questions, consulter le rôle ou demander une révision de la valeur de votre propriété.Relocalisation de services du Point de Service de l’ouestÀ la suite de la fermeture du Point de service du boulevard des Sources  le vendredi 17 mars 2023, l’ensemble des services offerts aux citoyens au Point de service de l’Ouest seront rapatriés au Point de service principal.","2019-09-04","2023-02-24","","Points de service","Édifice administratif","","","","Taxes et évaluation foncière","Ouvert"," Horaire [Lundi, ouverture:08:30, fermeture:12:00Lundi, ouverture:13:00, fermeture:16:30,Mardi, ouverture:08:30, fermeture:12:00Mardi, ouverture:13:00, fermeture:16:30,Mercredi, ouverture:08:30, fermeture:12:00Mercredi, ouverture:13:00, fermeture:16:30,Jeudi, ouverture:08:30, fermeture:12:00Jeudi, ouverture:13:00, fermeture:16:30,Vendredi, ouverture:08:30, fermeture:12:00Vendredi, ouverture:13:00, fermeture:16:00]","","","Argent comptant,Carte de crédit (MasterCard, Visa),Carte de débit,Chèque à l'ordre de la Ville de Montréal,Mandat postal à l’ordre de la Ville de Montréal","numéro: 5142803825","","Évaluation foncière - Point de service principal","255, boulevard Crémazie Est","Bureau 600","H2M1L5","Montréal",-73.640648,45.544564,293817,5044970.7
"Évaluation foncière - Point de service Division ouest","https://montreal.ca/lieux/evaluation-fonciere-point-de-service-division-ouest","Le Service de l’évaluation foncière traite les rôles d’évaluation des 16 municipalités de l’agglomération de Montréal. Vous pouvez vous y rendre pour poser des questions, consulter le rôle ou demander une révision de la valeur de votre propriété.Fermeture du point de serviceCe point de service fermera définitivement ses portes le vendredi 17 mars 2023. Les services seront désormais offerts au Point de service principal.Les citoyens de l’ouest de l’île qui souhaitent déposer une demande de révision du rôle 2023,  peuvent le faire en ligne, ou en personne à l’hôtel de ville de l’arrondissement Pierrefonds-Roxboro, à compter du lundi 20 mars 2023, jusqu’au lundi 1 er mai 2023.","2019-09-04","2023-04-24","","Points de service","Édifice administratif","","","","Taxes et évaluation foncière","Fermeture permanente"," Horaire [Lundi, ouverture:08:30, fermeture:12:00Lundi, ouverture:13:00, fermeture:16:30,Mardi, ouverture:08:30, fermeture:12:00Mardi, ouverture:13:00, fermeture:16:30,Mercredi, ouverture:08:30, fermeture:12:00Mercredi, ouverture:13:00, fermeture:16:30,Jeudi, ouverture:08:30, fermeture:12:00Jeudi, ouverture:13:00, fermeture:16:30,Vendredi, ouverture:08:30, fermeture:12:00Vendredi, ouverture:13:00, fermeture:16:00]","","","","numéro: 5142803825","","Évaluation foncière - Point de service Division ouest","1868, boulevard des Sources","Bureau 500","H9R5R2","Pointe-Claire",-73.787526,45.465682,282316.1,5036235.1
"Ateliers municipaux de Saint-Laurent","https://montreal.ca/lieux/ateliers-municipaux-de-saint-laurent","Les Ateliers municipaux de Saint-Laurent hébergent la Direction des travaux publics et la Section de l’environnement de l’arrondissement.","2020-02-19","2023-10-04","Saint-Laurent","Points de service","Édifice administratif","","Fontaine d'eau potable,Machine distributrice,Toilettes","Stationnement accessible","Environnement","Ouvert"," ","","","","numéro: 5149562400","","Ateliers municipaux de Saint-Laurent","13001, Boulevard Cavendish",,"H4R 2G5","Montréal",-73.711163,45.506537,288299.5,5040756.8
"Place Jacques-Cartier","https://montreal.ca/lieux/place-jacques-cartier","C’est une place publique très touristique avec ses nombreuses boutiques et restaurants.","2020-10-15","2021-09-27","Ville-Marie","Parc et jardins","Place","","","Adapté aux poussettes","Culture et sports","Ouvert"," ","","","","","","Place Jacques-Cartier","Place Jacques-Cartier",,"","Montréal",-73.552956483197,45.507816917779,300662,5040878.7
"Jardin communautaire Pierre-Lapointe","https://montreal.ca/lieux/jardin-communautaire-pierre-lapointe","Pour en savoir plus sur les jardins communautaires à Ahuntsic-Cartierville, cliquez ici.Pour consulter le plan détaillé du jardin communautaire Pierre-Lapointe, consultez le site web de Ville en vert.","2021-02-03","2023-03-03","Ahuntsic-Cartierville","Parc et jardins","Jardin communautaire","","","","Environnement","Ouvert"," Horaire [Lundi, ouverture:08:00, fermeture:20:30,Mardi, ouverture:08:00, fermeture:20:30,Mercredi, ouverture:08:00, fermeture:20:30,Jeudi, ouverture:08:00, fermeture:20:30,Vendredi, ouverture:08:00, fermeture:20:30,Samedi, ouverture:08:00, fermeture:20:30,Dimanche, ouverture:08:00, fermeture:20:30]","Ouvert du lever au coucher du soleil.","","","","","Jardin communautaire Pierre-Lapointe","10555, rue Lajeunesse",,"H3L2E5","Montréal",-73.66609007644,45.557190582391,291833.2,5046377.7
"Jardin communautaire Marcelin-Wilson","https://montreal.ca/lieux/jardin-communautaire-marcelin-wilson","Pour en savoir plus sur les jardins communautaires à Ahuntsic-Cartierville, cliquez ici.Pour consulter le plan détaillé du jardin communautaire Marcelin-Wilson, consultez le site web de Ville en vert.","2021-02-03","2023-03-03","Ahuntsic-Cartierville","Parc et jardins","Jardin communautaire","","","","Environnement","Ouvert"," Horaire [Lundi, ouverture:08:00, fermeture:20:30,Mardi, ouverture:08:00, fermeture:20:30,Mercredi, ouverture:08:00, fermeture:20:30,Jeudi, ouverture:08:00, fermeture:20:30,Vendredi, ouverture:08:00, fermeture:20:30,Samedi, ouverture:08:00, fermeture:20:30,Dimanche, ouverture:08:00, fermeture:20:30]","Ouvert du lever au coucher du soleil.","","","","","Jardin communautaire Marcelin-Wilson","11301, boulevard de l'Acadie",,"H3M2T1","Montréal",-73.686383407555,45.537167683529,290243.7,5044156
"Jardin communautaire Ahuntsic","https://montreal.ca/lieux/jardin-communautaire-ahuntsic","Pour en savoir plus sur les jardins communautaires à Ahuntsic-Cartierville, cliquez ici.Pour consulter le plan détaillé du jardin communautaire Ahuntsic, consulter le site web de Ville en vert.","2021-02-03","2023-03-03","Ahuntsic-Cartierville","Parc et jardins","Jardin communautaire","","","","Environnement","Ouvert"," Horaire [Lundi, ouverture:08:00, fermeture:20:30,Mardi, ouverture:08:00, fermeture:20:30,Mercredi, ouverture:08:00, fermeture:20:30,Jeudi, ouverture:08:00, fermeture:20:30,Vendredi, ouverture:08:00, fermeture:20:30,Samedi, ouverture:08:00, fermeture:20:30,Dimanche, ouverture:08:00, fermeture:20:30]","Ouvert du lever au coucher du soleil.","","","","","Jardin communautaire Ahuntsic","10374, rue Sackville",,"H2B2W6","Montréal",-73.648993413888,45.578163549083,293172.2,5048705.9
"Place des Arrimeurs","https://montreal.ca/lieux/place-des-arrimeurs","C’est l’endroit parfait pour s’arrêter, se reposer et discuter. Vous pouvez y admirer l’œuvre d’art public réalisée par Marie-Michelle Deschamps. La place des Arrimeurs est accessible facilement par le réseau cyclable des rues Ottawa, William et Guy. Une allée piétonne permet d’accéder au canal de Lachine.","2022-08-04","2022-10-13","Le Sud-Ouest","Parc et jardins","Place","","","Adapté aux poussettes","Aménagement et urbanisme","Ouvert"," ","","","","","","Place des Arrimeurs","À l’est de l’allée des Chalands, au sud des rues Ottawa et William","Secteur des Bassins du Nouveau Havre","","Montréal",-73.564936,45.489067,299724.3,5038795.7
