Code_geo,nom_projet,nom_rue,nb_unites,unites_typ,hlm_famill,hlm_pa,hlm_autres,projettype,type_prog,an_orig,an_effect,arrond,villelie,qr,localisati,aired_id,longitude,latitude,xnad83,ynad83
"1",Saint-Sulpice,Louvain,"150",logement,"148","0","2",HLM,,"1971",,Ahuntsic-Cartierville,,"5",Aire de diffusion,"24662617",-73.644146708873222,45.556396294466822,293546.150922238244675,5046286.140751351602376
"2",Adrien Trudeau,10e,"32",logement,"0","32","0",HLM,,"1994",,Lachine,,"70",Aire de diffusion,"24663149",-73.672436946942895,45.445957495922997,291311.124232766684145,5034017.383857609704137
"3",Montmorency,Grand Trunk,"80",logement,"0","74","6",HLM,,"1978",,Le Sud-Ouest,,"47",Aire de diffusion,"24661252",-73.560636903276404,45.485896997686787,300060.028090930893086,5038443.175826807506382
"4",Place Normandie,Chartrand,"168",logement,"167","0","1",HLM,,"1972",,Montréal-Nord,,"61",Aire de diffusion,"24662813",-73.623529591888499,45.623783581642599,295167.308297859854065,5053772.353174421004951
"5",Étienne-Desmarteaux,13e,"117",logement,"0","108","9",HLM,,"1978",,Rosemont–La Petite-Patrie,,"17",Aire de diffusion,"24662089",-73.580121233125894,45.558368642691498,298544.978709300456103,5046498.346524201333523
"6",Parc-Royal,Elizabeth,"33",logement,"0","32","1",HLM,,"1979",,Saint-Laurent,,"57",Aire de diffusion,"24660563",-73.682126634805002,45.524772305535102,290573.001628562516998,5042777.755917940288782
"7",Parc-Royal,Dutrisac,"92",logement,"92","0","0",HLM,,"1979",,Saint-Laurent,,"57",Aire de diffusion,"24660562",-73.682689981517996,45.522457788082399,290528.410054047824815,5042520.641510399989784
"8",André-Corneau,14e,"61",logement,"1","56","4",HLM,,"1985",,Villeray–Saint-Michel–Parc-Extension,,"7",Aire de diffusion,"24660353",-73.612502605820296,45.571615707386201,296019.046591518097557,5047973.549317610450089
"9",Sainte-Lucie,15e,"4",logement,"2","0","2",HLM,,"1990",,Villeray–Saint-Michel–Parc-Extension,,"7",Aire de diffusion,"24660353",-73.612502605820296,45.571615707386201,296019.046591518097557,5047973.549317610450089
"10",Sainte-Lucie,15e,"30",logement,"30","0","0",HLM,,"1990",,Villeray–Saint-Michel–Parc-Extension,,"7",Aire de diffusion,"24660353",-73.612502605820296,45.571615707386201,296019.046591518097557,5047973.549317610450089
"11",André-Grasset,Émile-Journault,"205",logement,"99","103","3",HLM,,"1972",,Ahuntsic-Cartierville,,"5",Aire de diffusion,"24663251",-73.632950867082300,45.557711928471797,294420.476986897643656,5046430.840167898684740
"12",Richmond,Richmond,"99",logement,"98","0","1",HLM,,"1971",,Le Sud-Ouest,,"51",Aire de diffusion,"24661109",-73.568960862928506,45.490345299106103,299409.770491270697676,5038938.041207389906049
"13",L.O.-David,17e,"7",logement,"7","0","0",HLM,,"1993",,Villeray–Saint-Michel–Parc-Extension,,"10",Aire de diffusion,"24660254",-73.598160948030298,45.565248176684896,297137.563179292890709,5047264.444797259755433
"14",Roland-Farineau / Pierre-Rémy,18e,"24",logement,"23","0","1",HLM,,"1980",,Lachine,,"70",Aire de diffusion,"24663466",-73.681452615211711,45.437679878851824,290603.798051322344691,5033099.050174652598798
"15",Du Parc Frontenac,Frontenac,"91",logement,"0","84","7",HLM,,"1988",,Ville-Marie,,"30",Aire de diffusion,"24663331",-73.551530672365203,45.532177674044100,300775.159720442141406,5043585.878788280300796
"16",Saint-Damase,19e,"27",logement,"27","0","0",HLM,,"1994",,Villeray–Saint-Michel–Parc-Extension,,"10",Aire de diffusion,"24660364",-73.602564622828694,45.567045495245999,296794.067948195966892,5047464.613860709592700
